service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
ST-2425TX4-MANC-Semaine-00,1,1,1,1,1,0,0,20250318,20250516
ST-2425TX4-MANC-Semaine-00-0010100,0,0,1,0,1,0,0,20250318,20250516
ST-2425TX4-MANC-Semaine-00-0001000,0,0,0,1,0,0,0,20250318,20250516
ST-2425TX4-MANC-Samedi-00,0,0,0,0,0,1,0,20250322,20250517
B-PS24TVX4-SEMTVX4-L-Ma-J-V-00,1,1,0,1,1,0,0,20250318,20250516
B-PS24TVX4-SEMTVX4-L-Ma-J-V-00-1101100,1,1,0,1,1,0,0,20250318,20250516
B-PS24TVX4-SEMTVX4-Mercredi-01,0,0,1,0,0,0,0,20250319,20250514
B-PS24TVX4-SEMTVX4-Mercredi-01-0010000,0,0,1,0,0,0,0,20250319,20250514
B-PS24TVX4-SATVX4-Samedi-00,0,0,0,0,0,1,0,20250322,20250517
B-PS24TVX4-DI-TVX4-Dimanche-00,0,0,0,0,0,0,1,20250323,20250518
B-CS24TVX4-SEM-PVS-Semaine-00,1,1,1,1,1,0,0,20250407,20250417
B-CS24TVX4-SEM-PVS-Vendredi-01,0,0,0,0,1,0,0,20250418,20250418
B-PS24TVX4-SATVX4-Samedi-02,0,0,0,0,0,1,0,20250419,20250419
B-PS24TVX4-DI-TVX4-Dimanche-01,0,0,0,0,0,0,1,20250420,20250420
ST-2425TX4-ST-SPS3-Semaine-00,1,1,1,1,1,0,0,20250318,20250516
ST-2425TX4-ST-SPS3-Semaine-00-1101100,1,1,0,1,1,0,0,20250318,20250516
ST-2425TX4-ST-SPS3-Semaine-00-0010000,0,0,1,0,0,0,0,20250318,20250516
ST-2425TX4-ST-SAM3-Samedi-00,0,0,0,0,0,1,0,20250322,20250517
ST-2425TX4-ST-DIM3-Dimanche-00,0,0,0,0,0,0,1,20250323,20250518
ST-2425TX4-ST-SCSP3-Semaine-00,1,1,1,1,1,0,0,20250407,20250418
T-PS25TAC3-SEMTACP3-Semaine-00,1,1,1,1,1,0,0,20250318,20250516
T-PS25TAC3-TSAM25-Samedi-00,0,0,0,0,0,1,0,20250322,20250517
T-PS25TAC3-TD25-Dimanche-00,0,0,0,0,0,0,1,20250323,20250518
T-CS25TAC3-SEMCS25-Semaine-00,1,1,1,1,1,0,0,20250407,20250418
T-CS25TAC3-SEMCS25-Vendredi-01,0,0,0,0,1,0,0,20250411,20250411
zAll,1,1,1,1,1,1,0,20240606,20250707 
zMul,1,1,1,1,1,1,0,20240606,20250707 
zLaf,1,1,1,1,1,1,0,20241202,20251029 
