service_id,date,exception_type
ST-2425TX4-MANC-Semaine-00,20250421,2
ST-2425TX4-MANC-Semaine-00-0010100,20250421,2
ST-2425TX4-MANC-Semaine-00-0001000,20250421,2
ST-2425TX4-MANC-Semaine-00,20250501,2
ST-2425TX4-MANC-Semaine-00-0010100,20250501,2
ST-2425TX4-MANC-Semaine-00-0001000,20250501,2
ST-2425TX4-MANC-Semaine-00,20250508,2
ST-2425TX4-MANC-Semaine-00-0010100,20250508,2
ST-2425TX4-MANC-Semaine-00-0001000,20250508,2
B-PS24TVX4-SEMTVX4-L-Ma-J-V-00,20250407,2
B-PS24TVX4-SEMTVX4-L-Ma-J-V-00-1101100,20250407,2
B-PS24TVX4-SEMTVX4-L-Ma-J-V-00,20250408,2
B-PS24TVX4-SEMTVX4-L-Ma-J-V-00-1101100,20250408,2
B-PS24TVX4-SEMTVX4-L-Ma-J-V-00,20250410,2
B-PS24TVX4-SEMTVX4-L-Ma-J-V-00-1101100,20250410,2
B-PS24TVX4-SEMTVX4-L-Ma-J-V-00,20250411,2
B-PS24TVX4-SEMTVX4-L-Ma-J-V-00-1101100,20250411,2
B-PS24TVX4-SEMTVX4-L-Ma-J-V-00,20250414,2
B-PS24TVX4-SEMTVX4-L-Ma-J-V-00-1101100,20250414,2
B-PS24TVX4-SEMTVX4-L-Ma-J-V-00,20250415,2
B-PS24TVX4-SEMTVX4-L-Ma-J-V-00-1101100,20250415,2
B-PS24TVX4-SEMTVX4-L-Ma-J-V-00,20250417,2
B-PS24TVX4-SEMTVX4-L-Ma-J-V-00-1101100,20250417,2
B-PS24TVX4-SEMTVX4-L-Ma-J-V-00,20250418,2
B-PS24TVX4-SEMTVX4-L-Ma-J-V-00-1101100,20250418,2
B-PS24TVX4-SEMTVX4-L-Ma-J-V-00,20250421,2
B-PS24TVX4-SEMTVX4-L-Ma-J-V-00-1101100,20250421,2
B-PS24TVX4-SEMTVX4-L-Ma-J-V-00,20250501,2
B-PS24TVX4-SEMTVX4-L-Ma-J-V-00-1101100,20250501,2
B-PS24TVX4-SEMTVX4-L-Ma-J-V-00,20250508,2
B-PS24TVX4-SEMTVX4-L-Ma-J-V-00-1101100,20250508,2
B-PS24TVX4-SEMTVX4-Mercredi-01,20250409,2
B-PS24TVX4-SEMTVX4-Mercredi-01-0010000,20250409,2
B-PS24TVX4-SEMTVX4-Mercredi-01,20250416,2
B-PS24TVX4-SEMTVX4-Mercredi-01-0010000,20250416,2
B-PS24TVX4-SATVX4-Samedi-00,20250419,2
