agency_id,route_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order
1,4,4,"St-Georges / St-Joseph – Bellevue-Hauts de C.",,3,,009640,FFFFFF,2000
1,5,5,"Gazonfier - Oasis-Centre des Expositions",,3,,FCBC06,000000,2010
1,6,6,"Comtes du Maine - St-Martin",,3,,C3057F,FFFFFF,2020
1,7,7,"Éperon par Auchan",,3,,F07D1B,000000,2030
1,10A,10A,"Oasis-Centre des Exp. par Pontlieue et Glonnières",,3,,EB5E1D,000000,2040
1,10B,10B,"Oasis-centre des Exp. par Glonnières et Pontlieue",,3,,EB5E1D,000000,2050
1,11,11,"Le Cadran/St-Aubin - Closerie",,3,,FBBA00,000000,2060
1,12,12,"Domaine de Beauregard - Zamenhof",,3,,C11718,FFFFFF,2070
1,13,13,"Gare Routière - Arnage-Hôtel de Ville",,3,,923189,FFFFFF,2080
1,14,14,"Parc Manceau - St-Martin",,3,,6DC7DD,000000,2090
1,15,15,"Le Verger - Guetteloup",,3,,009FE3,000000,3000
1,16,16,"Lafayette - Californie",,3,,27348B,FFFFFF,3010
1,17,17,"Gallière - Les Halles",,3,,569E33,FFFFFF,3020
1,20,20,"Éperon - Aigné",,3,,AC338A,FFFFFF,3030
1,21,21,"St-Martin - Arnage-Hôtel de Ville",,3,,AAD092,000000,3040
1,22,22,"Sargé-lès-Le-Mans par Zamenhof",,3,,86A8D8,000000,3050
1,23,23,"Quinconces - Yvré-l'Évêque",,3,,E21018,FFFFFF,3060
1,24,24,"Antarès - Stade Marie Marvingt - Mulsanne",,3,,91C043,000000,3070
1,25,25,"Quinconces - Champagné",,3,,0F8184,FFFFFF,3080
1,26,26,"St-Georges / St-Joseph - Allonnes",,3,,F6A554,000000,3090
1,27,27,"Mairie Ruaudin - Antarès - Stade Marie Marvingt",,3,,BE3C2D,FFFFFF,4000
1,28,28,"Four à Chanvre - Rouillon",,3,,614E9B,FFFFFF,4010
1,30,30,"Gare Sud - Les Croisettes",,3,,F29FC5,000000,4012
1,31,31,"Malpalu - EHPAD",,3,,994263,FFFFFF,4013
1,32,32,"Gare Sud - Stade Asnillé/Église Fay",,3,,E71D73,FFFFFF,4014
1,33,33,"La Denisière - Université",,3,,1FADAA,FFFFFF,4020
1,34,34,"C.C St-Georges-du-Bois - Gare Sud",,3,,A52468,FFFFFF,4030
1,35,35,"Gare Sud - Sécurité Sociale",,3,,0E8C8D,FFFFFF,4035
1,100,100,"Grand Rolland - Collège Les Mûriers",,3,,009640,FFFFFF,10100
1,101,101,"Aigné - Collège Les Mûriers",,3,,F298C0,000000,10101
1,102,102,"Aigné - Collège La Madeleine",,3,,706F6F,FFFFFF,10102
1,103,103,"Aigné - Lycée Sud",,3,,F9AF23,000000,10103
1,110,110,"Mulsanne - Sainte Hélène",,3,,36A9E1,000000,10110
1,111,111,"Mulsanne - Lycée Bellevue",,3,,F39200,000000,10111
1,112,112,"Mulsanne - Lycée Claude Chappe",,3,,00A690,FFFFFF,10112
