shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
40123,47.983723,0.151587,10001,0.000
40123,47.983725,0.151690,10002,0.008
40123,47.983675,0.153027,10003,0.108
40123,47.983669,0.153196,10004,0.120
40123,47.983661,0.153443,10005,0.139
40123,47.983652,0.153830,10006,0.168
40123,47.983654,0.154041,10007,0.183
40123,47.983668,0.154221,10008,0.197
40123,47.983710,0.154484,10009,0.217
40123,47.983816,0.155121,10010,0.266
40123,47.983858,0.155373,10011,0.286
40123,47.983916,0.155614,10012,0.305
40123,47.983943,0.155673,10013,0.310
40123,47.983958,0.155706,10014,0.313
40123,47.983938,0.155736,10015,0.316
40123,47.983925,0.155775,10016,0.320
40123,47.983921,0.155818,10017,0.323
40123,47.983928,0.155860,10018,0.326
40123,47.983944,0.155896,10019,0.329
40123,47.983967,0.155924,10020,0.333
40123,47.983994,0.155937,10021,0.336
40123,47.983998,0.155989,10022,0.340
40123,47.984004,0.156075,10023,0.346
40123,47.984024,0.156405,10024,0.371
40123,47.984028,0.156428,10025,0.372
40123,47.984028,0.156428,20001,0.372
40123,47.984060,0.156629,20002,0.388
40123,47.984125,0.157028,20003,0.418
40123,47.984275,0.157940,20004,0.489
40123,47.984340,0.158314,20005,0.517
40123,47.984411,0.158722,20006,0.549
40123,47.984423,0.158793,20007,0.554
40123,47.984429,0.158830,20008,0.557
40123,47.984461,0.159071,20009,0.576
40123,47.984464,0.159095,20010,0.577
40123,47.984483,0.159259,20011,0.590
40123,47.984487,0.159337,20012,0.596
40123,47.984530,0.160167,20013,0.658
40123,47.984539,0.160314,20014,0.669
40123,47.984561,0.160459,20015,0.680
40123,47.984603,0.160672,20016,0.696
40123,47.984675,0.160848,20017,0.712
40123,47.984865,0.161271,20018,0.750
40123,47.985085,0.161764,20019,0.794
40123,47.985150,0.161912,20020,0.807
40123,47.985168,0.161951,20021,0.811
40123,47.985240,0.162117,20022,0.826
40123,47.985240,0.162117,30001,0.826
40123,47.985377,0.162430,30002,0.854
40123,47.985480,0.162662,30003,0.874
40123,47.985795,0.163379,30004,0.938
40123,47.985823,0.163440,30005,0.944
40123,47.985841,0.163480,30006,0.948
40123,47.985870,0.163542,30007,0.953
40123,47.986006,0.163862,30008,0.981
40123,47.986035,0.163931,30009,0.988
40123,47.986035,0.163931,40001,0.988
40123,47.986078,0.164032,40002,0.997
40123,47.986111,0.164110,40003,1.003
40123,47.986354,0.164612,40004,1.050
40123,47.986371,0.164647,40005,1.053
40123,47.986462,0.164808,40006,1.069
40123,47.986562,0.164956,40007,1.084
40123,47.986590,0.164996,40008,1.088
40123,47.986626,0.165049,40009,1.094
40123,47.986853,0.165422,40010,1.132
40123,47.986903,0.165495,40011,1.139
40123,47.987074,0.165743,40012,1.166
40123,47.987315,0.166026,40013,1.200
40123,47.987364,0.166083,40014,1.207
40123,47.987547,0.166255,40015,1.231
40123,47.987836,0.166444,40016,1.266
40123,47.987929,0.166491,40017,1.277
40123,47.987999,0.166529,40018,1.285
40123,47.988109,0.166592,40019,1.298
40123,47.988109,0.166592,50001,1.298
40123,47.988255,0.166678,50002,1.316
40123,47.989384,0.167359,50003,1.452
40123,47.989606,0.167535,50004,1.479
40123,47.989644,0.167575,50005,1.484
40123,47.989700,0.167634,50006,1.492
40123,47.989829,0.167789,50007,1.511
40123,47.989878,0.167879,50008,1.519
40123,47.989878,0.167879,60001,1.519
40123,47.989917,0.167949,60002,1.526
40123,47.990044,0.168235,60003,1.552
40123,47.990108,0.168381,60004,1.565
40123,47.990321,0.168860,60005,1.608
40123,47.990647,0.169594,60006,1.673
40123,47.990971,0.170357,60007,1.741
40123,47.991564,0.171756,60008,1.864
40123,47.991642,0.171940,60009,1.880
40123,47.991801,0.172272,60010,1.911
40123,47.991801,0.172272,70001,1.911
40123,47.991879,0.172433,70002,1.926
40123,47.991916,0.172508,70003,1.933
40123,47.991973,0.172630,70004,1.944
40123,47.992078,0.172850,70005,1.964
40123,47.992168,0.173029,70006,1.980
40123,47.992253,0.173198,70007,1.996
40123,47.992289,0.173272,70008,2.003
40123,47.992343,0.173378,70009,2.013
40123,47.992409,0.173493,70010,2.024
40123,47.992646,0.173908,70011,2.065
40123,47.992717,0.174033,70012,2.077
40123,47.992728,0.174050,70013,2.079
40123,47.992742,0.174076,70014,2.081
40123,47.992791,0.174158,70015,2.090
40123,47.993132,0.174746,70016,2.148
40123,47.993155,0.174787,70017,2.152
40123,47.993344,0.175067,70018,2.181
40123,47.993493,0.175289,70019,2.205
40123,47.993677,0.175556,70020,2.233
40123,47.994164,0.176189,70021,2.305
40123,47.994232,0.176277,70022,2.315
40123,47.994232,0.176277,80001,2.315
40123,47.994347,0.176425,80002,2.332
40123,47.994385,0.176481,80003,2.338
40123,47.994738,0.176925,80004,2.389
40123,47.994794,0.177006,80005,2.398
40123,47.994834,0.177055,80006,2.404
40123,47.995328,0.177692,80007,2.476
40123,47.995371,0.177748,80008,2.483
40123,47.995488,0.177896,80009,2.500
40123,47.995488,0.177896,90001,2.500
40123,47.995684,0.178148,90002,2.528
