stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
2002,ABA1,Abattoirs,,47.961285,0.185143,,,0,PLA_ABATT,2
2040,ABR1,Aubrac,,47.993423,0.223775,,,0,PLA_AUBRA,1
2041,ACA1,Auchan,,48.042472,0.175403,,,0,PLA_AUCHA,2
2003,ACI1,Acacias,,47.998295,0.181042,,,0,PLA_ACACI,1
2004,ACT1,Actisud,,47.950121,0.195115,,,0,PLA_ACTIS,1
2005,ACT2,Actisud,,47.950760,0.195510,,,0,PLA_ACTIS,1
2035,ADR1,Ardriers,,48.000922,0.169738,,,0,PLA_ARDRI,1
2007,AER1,Aérodrome,,47.947781,0.194014,,,0,PLA_AEROD,1
2006,AER2,Aérodrome,,47.947888,0.194179,,,0,PLA_AEROD,1
1069,AG03,Angevinière,,47.985185,0.178482,,,0,PLA_ANGEV,1
1070,AG04,Angevinière,,47.985056,0.178327,,,0,PLA_ANGEV,1
2009,AGA1,Agadir,,48.018734,0.230613,,,0,PLA_AGADI,1
2008,AGA2,Agadir,,48.018137,0.230638,,,0,PLA_AGADI,1
2014,AGN1,Aigné,,48.064479,0.118837,,,0,PLA_AIGNE,2
2015,AGN2,Aigné,,48.064655,0.118946,,,0,PLA_AIGNE,2
2010,AGR1,Agribricorre,,48.047568,0.147726,,,0,PLA_AGRIB,2
2011,AGR2,Agribricorre,,48.047624,0.147790,,,0,PLA_AGRIB,2
3043,AGV1,Aigreville,,48.005778,0.075413,,,0,PLA_AIGRV,1
3044,AGV2,Aigreville,,48.006063,0.075127,,,0,PLA_AIGRV,1
2012,AIG1,Aigles,,48.005580,0.216337,,,0,PLA_AIGLE,2
2013,AIG2,Aigles,,48.005566,0.216172,,,0,PLA_AIGLE,2
1071,AL03,Allonnes-Bois Joli,,47.950447,0.163230,,,0,PLA_ALLBJ,1
1072,AL04,Allonnes-Bois Joli,,47.950152,0.162854,,,0,PLA_ALLBJ,1
2018,ALL1,Allonnes,,47.952325,0.165584,,,0,PLA_ALLON,1
2899,AMP1,Collège Ambroise Paré,,48.004564,0.187327,,,0,PLA_COLAP,1
1001,AN01,Antarès - Stade Marie Marvingt,,47.955912,0.222804,,,0,PLA_ANTAR,1
1002,AN02,Antarès - Stade Marie Marvingt,,47.955963,0.222641,,,0,PLA_ANTAR,1
