route_id,service_id,trip_id,trip_headsign,direction_id,shape_id,wheelchair_accessible
T3,B-CS24TVX4-SEM-PVS-Semaine-00,4164871-B-CS24TVX4-SEM-PVS-Semaine-00,"Gares",0,T30063,1
T3,B-CS24TVX4-SEM-PVS-Semaine-00,4164873-B-CS24TVX4-SEM-PVS-Semaine-00,"Bois Joli",1,T30060,1
T3,B-CS24TVX4-SEM-PVS-Semaine-00,4164874-B-CS24TVX4-SEM-PVS-Semaine-00,"Bois Joli",1,T30061,1
T3,B-CS24TVX4-SEM-PVS-Semaine-00,4164875-B-CS24TVX4-SEM-PVS-Semaine-00,"Bois Joli",1,T30061,1
T3,B-CS24TVX4-SEM-PVS-Semaine-00,4164876-B-CS24TVX4-SEM-PVS-Semaine-00,"Gares",0,T30063,1
T3,B-CS24TVX4-SEM-PVS-Semaine-00,4164877-B-CS24TVX4-SEM-PVS-Semaine-00,"Bois Joli",1,T30061,1
T3,B-CS24TVX4-SEM-PVS-Semaine-00,4164878-B-CS24TVX4-SEM-PVS-Semaine-00,"Gares",0,T30063,1
T3,B-CS24TVX4-SEM-PVS-Semaine-00,4164879-B-CS24TVX4-SEM-PVS-Semaine-00,"Bois Joli",1,T30061,1
T3,B-CS24TVX4-SEM-PVS-Semaine-00,4164880-B-CS24TVX4-SEM-PVS-Semaine-00,"Gares",0,T30063,1
T3,B-CS24TVX4-SEM-PVS-Semaine-00,4164881-B-CS24TVX4-SEM-PVS-Semaine-00,"Bois Joli",1,T30061,1
T3,B-CS24TVX4-SEM-PVS-Semaine-00,4164882-B-CS24TVX4-SEM-PVS-Semaine-00,"Gares",0,T30063,1
T3,B-CS24TVX4-SEM-PVS-Semaine-00,4164883-B-CS24TVX4-SEM-PVS-Semaine-00,"Bois Joli",1,T30061,1
T3,B-CS24TVX4-SEM-PVS-Semaine-00,4164884-B-CS24TVX4-SEM-PVS-Semaine-00,"Gares",0,T30063,1
T3,B-CS24TVX4-SEM-PVS-Semaine-00,4164885-B-CS24TVX4-SEM-PVS-Semaine-00,"Bois Joli",1,T30061,1
T3,B-CS24TVX4-SEM-PVS-Semaine-00,4164886-B-CS24TVX4-SEM-PVS-Semaine-00,"Gares",0,T30063,1
T3,B-CS24TVX4-SEM-PVS-Semaine-00,4164887-B-CS24TVX4-SEM-PVS-Semaine-00,"Bois Joli",1,T30061,1
T3,B-CS24TVX4-SEM-PVS-Semaine-00,4164888-B-CS24TVX4-SEM-PVS-Semaine-00,"Gares",0,T30063,1
T3,B-CS24TVX4-SEM-PVS-Semaine-00,4164889-B-CS24TVX4-SEM-PVS-Semaine-00,"Bois Joli",1,T30061,1
T3,B-CS24TVX4-SEM-PVS-Semaine-00,4164890-B-CS24TVX4-SEM-PVS-Semaine-00,"Gares",0,T30063,1
T3,B-CS24TVX4-SEM-PVS-Semaine-00,4164891-B-CS24TVX4-SEM-PVS-Semaine-00,"Bois Joli",1,T30061,1
T3,B-CS24TVX4-SEM-PVS-Semaine-00,4164892-B-CS24TVX4-SEM-PVS-Semaine-00,"Gares",0,T30063,1
T3,B-CS24TVX4-SEM-PVS-Semaine-00,4164893-B-CS24TVX4-SEM-PVS-Semaine-00,"Bois Joli",1,T30061,1
T3,B-CS24TVX4-SEM-PVS-Semaine-00,4164894-B-CS24TVX4-SEM-PVS-Semaine-00,"Gares",0,T30063,1
T3,B-CS24TVX4-SEM-PVS-Semaine-00,4164895-B-CS24TVX4-SEM-PVS-Semaine-00,"Bois Joli",1,T30061,1
T3,B-CS24TVX4-SEM-PVS-Semaine-00,4164896-B-CS24TVX4-SEM-PVS-Semaine-00,"Gares",0,T30063,1
T3,B-CS24TVX4-SEM-PVS-Semaine-00,4164897-B-CS24TVX4-SEM-PVS-Semaine-00,"Bois Joli",1,T30061,1
T3,B-CS24TVX4-SEM-PVS-Semaine-00,4164898-B-CS24TVX4-SEM-PVS-Semaine-00,"Gares",0,T30063,1
T3,B-CS24TVX4-SEM-PVS-Semaine-00,4164899-B-CS24TVX4-SEM-PVS-Semaine-00,"Bois Joli",1,T30061,1
